	crp	esr	das28crp	rf_tit	acpa_tit
MED30	0	0	0	0	0
MED4	0	0	0	0	0
MEF2A	0	0	0	0	0
MEF2C	0	0	0	0	0
MEIS2	0	0	0	0	0
MEIS3	0	0	0	0	0
MEOX2	0	0	0	0	0
METTL3	0	0	0	0	0
MIF	0	0	0	0	0
MITF	0	0	0	0	0
MKNK1	0	0	0	0	0
MKNK2	0	0	0	0	0
MLANA	0	0	0	0	0
MLF1	0	0	0	0	0
MLH1	0	0	0	0	0
MLKL	0	0	0	0	0
MLLT11	0	0	0	0	0
MLLT3	0	0	0	0	0
MLLT6	0	0	0	0	0
MLPH	0	0	0	0	0
MLX	0	0	0	0	0
MMP11	0	0.42620697048125933	0	0	0
MMP14	0	0	0	0	0
MMP2	0	0	0	0	0
MMP24	0	0	0	0	0
MNAT1	0	0	0	0	0
MNDA	0	0	0	0	0
MOB3A	0	0	0	0	0
MOK	0	0	0	0	0
MORC1	0	0	0	0	0
MPP1	0	0	0	0	0
MPP3	0	0	0	0	0
MPP5	0	0	0	0.5619790664599112	0
MPZL2	0	0	0	0	0
MRPL45	0	0	0	0	0
MRPL55	0	0	0	0	0
MRPS26	0	0	0	0	0
MRPS30	0	0	0	0	0
MRT4	0	0	0	0	0
MSC	0	0	0	0	0
MSH2	0	0	0	0	0
MSLN	0	0	0	0	0
MSN	0	0	0	0	0
MTERF1	0	0	0	0	0
MTMR2	0	0	0	0	0
MTO1	0	0	0	0	0
MUSK	0	0	0	0	0
MUTYH	0	0	0	0	0
MX1	0	0	0	0	0
MX2	0	0	0	0	0
MYBL2	0	0	0	0	0
MYC	0	0	0	0	0
MYCBP	0	0	0	0	0
MYCBPAP	0	0	0	0	0
MYCL	0	0	0	0	0
MYCN	0	0	0	0	0
MYD88	0	0	0	0	0
MYF6	0	0	0	0	0
MYNN	0	0	0	0	0
MYOG	0	0	0	0	0
MYOZ2	0	0	0	0	0
NAB1	0	0	0	0	0
NAE1	0	0	0	0	0
NAGK	0	0	0	0	0
NAP1L1	0	0	0	0	0
NAP1L3	0	0	0	0	0
